Field=#~Integer~#~50|Field=Line #~String~Line #~100|Field=Name~String~Name~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~J_Tag.PrjPCB|ReportField=ProjectFullPath~C:\Users\Lazar\Desktop\HerranDrive\Sharac\3_Baterija\J_Tag_Novi\J_Tag.PrjPCB|ReportField=Title~Bill of Materials For BOM Document [J_Tag_BOM.BomDoc]|ReportField=ReportTime~10:16:28 AM|ReportField=ReportDate~7/10/2020|ReportField=ReportDateTime~7/10/2020 10:16:28 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~36|ReportField=TotalActualPrice~34.09|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~7/10/2020|ReportField=CurrentTime~10:16:11 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Lazar\Desktop\HerranDrive\Sharac\3_Baterija\J_Tag_Novi\J_TAG_SCH.SchDoc|ReportField=DocumentName~J_TAG_SCH.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~7/10/2020|ReportField=Organization~|ReportField=ProjectName~J_Tag.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~2|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~J_Tag_BOM.BomDoc|ReportField=DataSourceFullPath~C:\Users\Lazar\Desktop\HerranDrive\Sharac\3_Baterija\J_Tag_Novi\J_Tag_BOM.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11||150080VS75000|GREEN LED|LEDG|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D150080VS75000%26seller%3DDigi-Key%26sku%3D732-4986-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D150080VS75000%26seller%3DDigi-Key%26sku%3D732-4986-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}150080VS75000{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D150080VS75000%26seller%3DDigi-Key%26sku%3D732-4986-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-4986-6-ND{URL.TIP}Supplier|0.18|0.18
12||FT2232HQ-REEL|IC kontroler|U1|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DFTDI%26mpn%3DFT2232HQ-REEL%26seller%3DDigi-Key%26sku%3D768-1025-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}FTDI{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DFTDI%26mpn%3DFT2232HQ-REEL%26seller%3DDigi-Key%26sku%3D768-1025-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}FT2232HQ-REEL{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DFTDI%26mpn%3DFT2232HQ-REEL%26seller%3DDigi-Key%26sku%3D768-1025-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}768-1025-6-ND{URL.TIP}Supplier|6.71|6.71
13||93LC56BT-I/OT|IC memorija|U8|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3D93LC56BT-I%252FOT%26seller%3DDigi-Key%26sku%3D93LC56BT-I%252FOTDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Microchip{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3D93LC56BT-I%252FOT%26seller%3DDigi-Key%26sku%3D93LC56BT-I%252FOTDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}93LC56BT-I%2FOT{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMicrochip%26mpn%3D93LC56BT-I%252FOT%26seller%3DDigi-Key%26sku%3D93LC56BT-I%252FOTDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}93LC56BT-I%2FOTDKR-ND{URL.TIP}Supplier|0.23|0.23
14||ISO7240CDWR|Izolator|U5|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DISO7240CDWR%26seller%3DDigi-Key%26sku%3D296-38555-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DISO7240CDWR%26seller%3DDigi-Key%26sku%3D296-38555-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ISO7240CDWR{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DISO7240CDWR%26seller%3DDigi-Key%26sku%3D296-38555-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-38555-6-ND{URL.TIP}Supplier|4.83|4.83
15||ISO7231CDWR|Izolator|U7|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DISO7231CDWR%26seller%3DDigi-Key%26sku%3D296-38966-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DISO7231CDWR%26seller%3DDigi-Key%26sku%3D296-38966-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ISO7231CDWR{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DISO7231CDWR%26seller%3DDigi-Key%26sku%3D296-38966-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}296-38966-6-ND{URL.TIP}Supplier|3.76|3.76
16||BLM15AG601SN1D|L1, L2|L1, L2|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DBLM15AG601SN1D%26seller%3DDigi-Key%26sku%3D490-1006-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Murata{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DBLM15AG601SN1D%26seller%3DDigi-Key%26sku%3D490-1006-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}BLM15AG601SN1D{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%26mpn%3DBLM15AG601SN1D%26seller%3DDigi-Key%26sku%3D490-1006-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}490-1006-6-ND{URL.TIP}Supplier|0.1|0.2
17||CDRH2D18/HPNP-2R2NC|L7|L7|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSumida%26mpn%3DCDRH2D18%252FHPNP-2R2NC%26seller%3DDigi-Key%26sku%3D308-2295-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Sumida{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSumida%26mpn%3DCDRH2D18%252FHPNP-2R2NC%26seller%3DDigi-Key%26sku%3D308-2295-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}CDRH2D18%2FHPNP-2R2NC{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DSumida%26mpn%3DCDRH2D18%252FHPNP-2R2NC%26seller%3DDigi-Key%26sku%3D308-2295-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}308-2295-6-ND{URL.TIP}Supplier|1.04|1.04
18||ABLS2-12.000MHZ-D4Y-T|Oscilator 12MHz|Q3|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABLS2-12.000MHZ-D4Y-T%26seller%3DDigi-Key%26sku%3D535-9869-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Abracon{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABLS2-12.000MHZ-D4Y-T%26seller%3DDigi-Key%26sku%3D535-9869-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ABLS2-12.000MHZ-D4Y-T{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAbracon%26mpn%3DABLS2-12.000MHZ-D4Y-T%26seller%3DDigi-Key%26sku%3D535-9869-6-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}535-9869-6-ND{URL.TIP}Supplier|0.46|0.46
19||RC0402FR-0710KL|R12, 10K|R12|1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-0710KL%26seller%3DDigi-Key%26sku%3D311-10.0KLRDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-0710KL%26seller%3DDigi-Key%26sku%3D311-10.0KLRDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0402FR-0710KL{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-0710KL%26seller%3DDigi-Key%26sku%3D311-10.0KLRDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-10.0KLRDKR-ND{URL.TIP}Supplier|0.1|0.1
20||RC0402FR-071KL|R22, R23, 1K|R22, R23|2|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-071KL%26seller%3DDigi-Key%26sku%3D311-1.00KLRDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-071KL%26seller%3DDigi-Key%26sku%3D311-1.00KLRDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC0402FR-071KL{URL.TIP}Manufacturer|Volume Production|Digi-Key|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC0402FR-071KL%26seller%3DDigi-Key%26sku%3D311-1.00KLRDKR-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1.00KLRDKR-ND{URL.TIP}Supplier||
